query,product_id
"куртка женская черная",306897066
"куртка женская черная",164105063
"куртка женская черная",175198445
"куртка женская черная",244733060
"куртка женская черная",315813991
"куртка женская черная",453202438
"куртка женская черная",505824484
"куртка женская черная",398811902
"куртка женская черная",115923810
"куртка женская черная",158418558
"куртка женская черная",168431456
"куртка женская черная",211694024
"куртка женская черная",172441381
"куртка женская черная",137342117
"куртка женская черная",310889355
"куртка женская черная",118762310
"куртка женская черная",64775386
"куртка женская черная",245037999
"куртка женская черная",138287921
"куртка женская черная",179952619
"куртка женская черная",507628825
"куртка женская черная",251190154
"куртка женская черная",197792382
"куртка женская черная",316816781
"куртка женская черная",38913580
"куртка женская черная",449132982
"куртка женская черная",184614223
"куртка женская черная",453203593
"куртка женская черная",457463541
"куртка женская черная",143722479
"куртка женская черная",176281469
"куртка женская черная",332042002
"куртка женская черная",210598958
"куртка женская черная",147879920
"куртка женская черная",170879556
"куртка женская черная",179914585
"куртка женская черная",169746779
"куртка женская черная",200984551
"куртка женская черная",99696432
"куртка женская черная",203802357
"куртка женская черная",313220692
"куртка женская черная",174014532
"куртка женская черная",453203594
"куртка женская черная",456823346
"куртка женская черная",245335812
"куртка женская черная",143425998
"куртка женская черная",476007300
"куртка женская черная",175408018
"куртка женская черная",313650117
"куртка женская черная",41819005
"куртка женская черная",341820441
"куртка женская черная",230538892
"куртка женская черная",332610531
"куртка женская черная",236763300
"куртка женская черная",398804061
"куртка женская черная",256809911
"куртка женская черная",462352062
"куртка женская черная",327291456
"куртка женская черная",492192292
"куртка женская черная",201539548
"куртка женская черная",145385669
"куртка женская черная",76741531
"куртка женская черная",146640899
"куртка женская черная",304527226
"куртка женская черная",207200008
"куртка женская черная",272527706
"куртка женская черная",307652390
"куртка женская черная",482007015
"куртка женская черная",306191626
"куртка женская черная",14365711
"куртка женская черная",243566488
"куртка женская черная",180457929
"куртка женская черная",373241453
"куртка женская черная",465208882
"куртка женская черная",174029595
"куртка женская черная",171003957
"куртка женская черная",492847129
"куртка женская черная",316111265
"куртка женская черная",207289058
"куртка женская черная",453308646
"куртка женская черная",274988720
"куртка женская черная",146369629
"куртка женская черная",463605712
"куртка женская черная",475684887
"куртка женская черная",341476784
"куртка женская черная",471327010
"куртка женская черная",240203093
"куртка женская черная",481182071
"куртка женская черная",460568492
"куртка женская черная",481505664
"куртка женская черная",264000410
"куртка женская черная",499485655
"куртка женская черная",143615439
"куртка женская черная",307771343
"куртка женская черная",493170805
"куртка женская черная",119482642
"куртка женская черная",311478172
"куртка женская черная",511364680
"куртка женская черная",293999265
"куртка женская черная",332855727
